case,group,label,model,kernel,n_train,n_test,RMSE_cm,MAE_cm,bias_cm,cover95
24,D,30% scattered 1-10 d gaps,GP2M32,two-scale M3/2,1682,730,8.705007004288492,6.675900502402181,-0.4087604082296706,95.2054794520548
24,D,30% scattered 1-10 d gaps,GP2M32SA,GP-2M-SA,1682,730,8.645984701496713,6.655071290356595,-0.2762141744676591,94.93150684931507
24,D,30% scattered 1-10 d gaps,GPQP,M3/2 + quasi-periodic,1682,730,8.735105752482475,6.721622541257694,-0.1218452613934966,95.34246575342465
25,D,40% scattered 1-10 d gaps,GPM12,Matern 1/2,1447,965,9.148896857581452,6.972350800777018,0.8539812891892863,93.47150259067357
25,D,40% scattered 1-10 d gaps,GP,Matern 3/2,1447,965,9.257087043636833,7.072924129767679,0.819451166830138,93.3678756476684
25,D,40% scattered 1-10 d gaps,GPM52,Matern 5/2,1447,965,9.307955417398539,7.116167727652438,0.8083992982349655,93.16062176165804
25,D,40% scattered 1-10 d gaps,GPRQ,rational quadratic,1447,965,9.016556484094956,6.885963651610645,0.8974807047461845,93.3678756476684
25,D,40% scattered 1-10 d gaps,GP2M32,two-scale M3/2,1447,965,9.075023397781546,6.9383044921562735,0.909744419246094,92.53886010362694
25,D,40% scattered 1-10 d gaps,GP2M32SA,GP-2M-SA,1447,965,9.080112547801134,6.968696193968513,0.857931781715626,93.26424870466322
25,D,40% scattered 1-10 d gaps,GPQP,M3/2 + quasi-periodic,1447,965,9.27260306236833,7.080665742625292,0.7502136585514836,92.74611398963731
